distribution,r,K,upper,lower,ref_pof
normal,0,1,1.0,0.0,0.242
normal,0,2,0.5,0.0,0.242
normal,0,4,0.5,0.0062,0.242
normal,0,8,0.5,0.1056,0.242
normal,1,1,0.8772,0.0,0.242
normal,1,2,0.5,0.0114,0.242
normal,1,4,0.5,0.0261,0.242
normal,1,8,0.4146,0.1056,0.242
normal,2,1,0.6711,0.0,0.242
normal,2,2,0.5,0.0128,0.242
normal,2,4,0.4465,0.0469,0.242
normal,2,8,0.3979,0.1269,0.242
normal,3,1,0.6349,0.0042,0.242
normal,3,2,0.4145,0.0819,0.242
normal,3,4,0.4097,0.0924,0.242
normal,3,8,0.3556,0.1436,0.242
uniform,0,1,1.0,0.0,0.33
uniform,0,2,0.5,0.0,0.33
uniform,0,4,0.5,0.25,0.33
uniform,0,8,0.375,0.25,0.33
uniform,1,1,0.7463,0.0,0.33
uniform,1,2,0.5,0.1212,0.33
uniform,1,4,0.4338,0.25,0.33
uniform,1,8,0.375,0.2773,0.33
uniform,2,1,0.7425,0.0,0.33
uniform,2,2,0.4951,0.1237,0.33
uniform,2,4,0.43,0.25,0.33
uniform,2,8,0.3704,0.2799,0.33
uniform,3,1,0.5966,0.0982,0.33
uniform,3,2,0.4482,0.1965,0.33
uniform,3,4,0.3966,0.2731,0.33
uniform,3,8,0.3608,0.2963,0.33
weibull,0,1,1.0,0.0,0.1593
weibull,0,2,1.0,0.0192,0.1593
weibull,0,4,0.2472,0.0192,0.1593
weibull,0,8,0.2472,0.0767,0.1593
weibull,1,1,0.6018,0.0,0.1593
weibull,1,2,0.584,0.0192,0.1593
weibull,1,4,0.2472,0.0574,0.1593
weibull,1,8,0.2472,0.0828,0.1593
weibull,2,1,0.5127,0.0,0.1593
weibull,2,2,0.4376,0.0192,0.1593
weibull,2,4,0.2472,0.0688,0.1593
weibull,2,8,0.2189,0.1017,0.1593
weibull,3,1,0.4632,0.0034,0.1593
weibull,3,2,0.3979,0.0339,0.1593
weibull,3,4,0.2262,0.0863,0.1593
weibull,3,8,0.2148,0.1098,0.1593
bimodal,0,1,1.0,0.0,0.4927
bimodal,0,2,0.6432,0.0,0.4927
bimodal,0,4,0.6432,0.1999,0.4927
bimodal,0,8,0.5027,0.1999,0.4927
bimodal,1,1,0.8887,0.0,0.4927
bimodal,1,2,0.6432,0.1269,0.4927
bimodal,1,4,0.6432,0.286,0.4927
bimodal,1,8,0.5027,0.3488,0.4927
bimodal,2,1,0.8778,0.0185,0.4927
bimodal,2,2,0.6432,0.2395,0.4927
bimodal,2,4,0.6198,0.3113,0.4927
bimodal,2,8,0.5027,0.4235,0.4927
bimodal,3,1,0.7781,0.0698,0.4927
bimodal,3,2,0.6281,0.2673,0.4927
bimodal,3,4,0.6112,0.3437,0.4927
bimodal,3,8,0.5027,0.4467,0.4927
